title,url,date
European Legislation on Protection of Human Rights and the Environment in Chains of Activities adopted by European Parliament,https://hengeler-news.com/assets/articles/2024_05_lieferkette_newsletter_en-1715327145.pdf,2024-05-10
Brussels à Jour: A Hard Pill to Swallow,https://hengeler-news.com/assets/articles/2024_4_brx-1714126559.pdf,2024-04-26
Brussels à Jour: Exploring the First 100 Days of the Notification Obligation under the Foreign Subsidies Regulation,https://hengeler-news.com/assets/articles/2024_3_brx.pdf,2024-03-27
Important Steps towards the Modernisation of Arbitration Law in Germany,https://hengeler-news.com/assets/articles/2024_02_schiedverfahren_en_02-1710172432.pdf,2024-03-11
Brussels à Jour: Be My Fee-lentine,https://hengeler-news.com/assets/articles/2024_2_brx.pdf,2024-02-26
"Brussels à Jour: New Year, Same Problems? – Altice and the Fine Line of Pre-Closing Covenants",https://hengeler-news.com/assets/articles/2024_1_brx.pdf,2024-01-31
Innovative risk protection through captive insurance,https://hengeler-news.com/en/articles/innovative-risikoabsicherung-durch-insurance-captives,2024-01-24
A Beacon of Hope in Stormy Seas,https://hengeler-news.com/en/articles/a-beacon-of-hope-in-stormy-sea,2024-01-18
Financing Trends in 2023 and Outlook 2024,https://hengeler-news.com/en/articles/financing-trends-in-2023-and-outlook-2024,2024-01-18
Foreign Subsidies Regulation – A New Tool for Merger Control,https://hengeler-news.com/en/articles/foreign-subsidies-regulation-a-new-tool-for-merger-control,2024-01-18
From Honorary Post to Profession,https://hengeler-news.com/assets/articles/2023-09-20_aufsichtsratsstudie-2023_en-1695112136.pdf,2024-01-18
Greenwashing: A Liability Trap for Management,https://hengeler-news.com/en/articles/greenwashing-a-liability-trap-for-management,2024-01-18
M&A Outlook 2024,https://hengeler-news.com/en/articles/m-a-outlook-2024,2024-01-18
Start-ups and Employee Equity Grants: All Good Thanks to the Future Financing Act?,https://hengeler-news.com/en/articles/start-ups-and-employee-equity-grants-all-good-thanks-to-the-future-financing-act,2024-01-18
Will Finance Minister Lindner 'Catch the Big Fish'?,https://hengeler-news.com/en/articles/will-finance-minister-lindner-catch-the-big-fish,2024-01-18
Advanced Technologies for Efficient Mass Litigation,https://hengeler-news.com/assets/articles/2023_07_verbandsklage_en.pdf,2024-01-18
Our Pro Bono Work,https://hengeler-news.com/en/articles/our-pro-bono-work,2024-01-18
Sustainability in Practice – Hengeler Mueller's Commitment to a Greener Future,https://hengeler-news.com/en/articles/sustainability-in-practice-hengeler-mueller-s-commitment-to-a-greener-future,2024-01-18
Diversity within the Firm: Our Commitment to a More Colourful Future,https://hengeler-news.com/en/articles/diversity-within-the-firm-our-commitment-to-a-more-colourful-future,2024-01-18
Hengeler Mueller Newsletter 2024,https://hengeler-news.com/en/articles/hengeler-mueller-newsletter-2024,2024-01-18
Brussels à Jour: The Roundup Before Christmas,https://hengeler-news.com/assets/articles/2023_12_brx-xmas-1703075432.pdf,2023-12-20
Federal Court of Justice rules fund fee clause in general and special fund rules invalid,https://hengeler-news.com/assets/articles/2023_12_asset_newsletter-en.pdf,2023-12-12
Brussels à Jour: Gaslighting by Any Other Name…,https://hengeler-news.com/assets/articles/2023_11_brx-1701710047.pdf,2023-12-01
