title,url,date
CFPB and European Commission Release Report Regarding “Critical” Priority Areas for Consumer Financial Protection Issues,https://www.goodwinlaw.com/en/insights/blogs/2024/05/cfpb-and-european-commission-release-report-regarding-critical-priority-areas-for-consumer-financial,2024-05-11
Court Cancels Injunction Hearings In Aflibercept BPCIA Litigation; Regeneron May Seek Temporary Restraining Orders,https://www.goodwinlaw.com/en/insights/blogs/2024/05/court-cancels-injunction-hearings-in-aflibercept-bpcia-litigation-regeneron-may-seek-temporary-restr,2024-05-10
2nd BCLT Advanced Life Sciences Institute,https://www.goodwinlaw.com/en/insights/blogs/2024/05/2nd-bclt-advanced-life-sciences-institute,2024-05-10
IRA Litigation Updates: D.N.J. Rejects Challenges from BMS and Janssen; Four Cases Now on Appeal,https://www.goodwinlaw.com/en/insights/blogs/2024/05/ira-litigation-updates-dnj-rejects-challenges-from-bms-and-janssen-four-cases-now-on-appeal,2024-05-09
IRS Finalizes Regulations for Domestically Controlled REITs and other Qualified Investment Entities,https://www.goodwinlaw.com/en/insights/publications/2024/05/alerts-realestate-irs-finalizes-regulations-domestically-controlled-reit,2024-05-08
CFPB Enters Into Consent Order With Financial Technology Company,https://www.goodwinlaw.com/en/insights/blogs/2024/05/cfpb-enters-into-consent-order-with-financial-technology-company,2024-05-07
Top NYC Developer Shares Three Keys to Successful Office Conversions,https://www.goodwinlaw.com/en/insights/publications/2024/05/insights-realestate-nyc-developer-three-tips-office-conversions,2024-05-07
Equity on Ice: A Solution for the Repurchase Conundrum,https://www.goodwinlaw.com/en/insights/publications/2024/05/insights-practices-ma-equity-on-ice-a-solution-for-the-repurchase,2024-05-07
CFPB Files Complaint and Proposed Final Judgments Against Higher Education Assistance Agency and National Collegiate Student Loan Trusts,https://www.goodwinlaw.com/en/insights/blogs/2024/05/cfpb-files-complaint-and-proposed-final-judgments-against-higher-education-assistance-agency-and-nat,2024-05-06
Which Jobs More Frequently Require Non-Compete Agreements?,https://www.goodwinlaw.com/en/insights/publications/2024/05/insights-otherindustries-jobs-frequently-require-non-compete-agreements,2024-05-06
FDA Updates Draft Guidance on Promotional Communications of Prescription Biologics and Biosimilars,https://www.goodwinlaw.com/en/insights/blogs/2024/05/fda-updates-draft-guidance-on-promotional-communications-of-prescription-biologics-and-biosimilars,2024-05-03
CFPB Bemoans “Junk Fees” in Mortgage Servicing,https://www.goodwinlaw.com/en/insights/blogs/2024/05/cfpb-bemoans-junk-fees-in-mortgage-servicing,2024-05-03
Series 2: How to Determine Your Risk Category and What It Means to Be ‘High-Risk’,https://www.goodwinlaw.com/en/insights/publications/2024/05/alerts-technology-aiml-series-2-how-to-determine-your-risk,2024-05-03
FINRA Proposes Extending the MQP CE Window,https://www.goodwinlaw.com/en/insights/publications/2024/05/alerts-finance-cfs-finra-proposes-extending-the-mqp-ce-window,2024-05-03
"Accord BioPharma, Inc. Announces FDA Approval of HERCESSI (trastuzumab-strf)",https://www.goodwinlaw.com/en/insights/blogs/2024/05/accord-biopharma-inc-announces-fda-approval-of-hercessi-trastuzumabstrf,2024-05-02
FDIC’s Board of Directors Considers Proposed Rulemaking Amending Regulations Implementing the Change in Bank Control Act,https://www.goodwinlaw.com/en/insights/newsletters/2024/05/newsletters-finance-fs-weekly-roundup-050224,2024-05-02
PTAB Issues Final Written Decisions Finding Claims of Recombinant Lentiviral Vector Patents Valid,https://www.goodwinlaw.com/en/insights/blogs/2024/05/ptab-issues-final-written-decisions-finding-claims-of-recombinant-lentiviral-vector-patents-valid,2024-05-01
Does the EU AI Act Classify Your AI System as High Risk?,https://www.goodwinlaw.com/en/insights/publications/2024/05/insights-technology-aiml-does-the-eu-ai-act-classify-your-ai,2024-05-01
FDA Issues Final Rule on Regulation of Laboratory Developed Tests,https://www.goodwinlaw.com/en/insights/blogs/2024/04/fda-issues-final-rule-on-regulation-of-laboratory-developed-tests,2024-04-30
Biosimilar Approval Updates in Europe and China,https://www.goodwinlaw.com/en/insights/blogs/2024/04/biosimilar-approval-updates-in-europe-and-china,2024-04-30
Navigating Bank Failures: Lessons Learned,https://www.goodwinlaw.com/en/insights/publications/2024/04/insights-practices-fs-svb-bank-failure-lessons-learned,2024-04-30
Digital Currency & Blockchain Quarterly Litigation Update,https://www.goodwinlaw.com/en/insights/newsletters/2024/04/newsletters-digital-currency-blockchain-q1-2024,2024-04-30
"The Continued Rise of Branded Residences: Opportunities and Structuring Considerations For Developers, Hotel Owners, and Brands",https://www.goodwinlaw.com/en/insights/publications/2024/04/insights-realestate-continued-rise-branded-residences-opportunities,2024-04-30
Significant State Regulatory Development in the Virtual Currency Industry in California and New York,https://www.goodwinlaw.com/en/insights/publications/2024/04/insights-finance-ftec-significant-state-regulatory-development,2024-04-30
"GSK Sues Pfizer, Pharmacia & Upjohn & BioNTech for Infringing mRNA Vaccine Patents",https://www.goodwinlaw.com/en/insights/blogs/2024/04/gsk-sues-pfizer-pharmacia--upjohn--biontech-for-infringing-mrna-vaccine-patents,2024-04-29
Moderna Litigation Against BioNTech and Pfizer Stayed Pending IPR,https://www.goodwinlaw.com/en/insights/blogs/2024/04/moderna-litigation-against-biontech-and-pfizer-stayed-pending-ipr,2024-04-29
Debt Download,https://www.goodwinlaw.com/en/insights/newsletters/2024/04/newsletters-practices-df-debt-download-042924,2024-04-29
CFPB Updates its Procedures for Determining Which Nonbanks it Can Supervise,https://www.goodwinlaw.com/en/insights/blogs/2024/04/cfpb-updates-its-procedures-for-determining-which-nonbanks-it-can-supervise,2024-04-26
Alvotech Announces Positive Topline Results From Confirmatory Clinical Study for its Proposed Golimumab Biosimilar,https://www.goodwinlaw.com/en/insights/blogs/2024/04/alvotech-announces-positive-topline-results-from-confirmatory-clinical-study-for-its-proposed-golimu,2024-04-26
Sustainability Disclosure Rules in the UK: Extending the FCA’s Regime to Portfolio Managers,https://www.goodwinlaw.com/en/insights/publications/2024/04/alerts-practices-pif-sustainability-disclosure-rules-in-the-uk,2024-04-26
DOL Issues New Rule Raising Minimum Salary Thresholds for Overtime Exemptions,https://www.goodwinlaw.com/en/insights/publications/2024/04/alerts-practices-emp-dol-rule-raising-minimum-salary-overtime-exemptions,2024-04-26
FTC Issues Final Rule Prohibiting Most Post-Employment Non-Compete Agreements,https://www.goodwinlaw.com/en/insights/publications/2024/04/alerts-otherindustries-ftc-issues-final-rule-prohibiting,2024-04-25
FinCEN Proposed the Renewal of its Existing Information Collection Requirements Previously Promulgated Under the BSA,https://www.goodwinlaw.com/en/insights/newsletters/2024/04/newsletters-finance-fs-weekly-roundup-042524,2024-04-25
The FCA’s AI Update: Integrating The UK Government’s 5 Principles,https://www.goodwinlaw.com/en/insights/publications/2024/04/alerts-finance-aiml-the-fca-ai-update,2024-04-25
DFPI Enters Into Consent Order With Higher Education Loan Authority,https://www.goodwinlaw.com/en/insights/blogs/2024/04/dfpi-enters-into-consent-order-with-higher-education-loan-authority,2024-04-24
California Attorney General Warns California-Chartered Banks and Credit Unions On Surprise Overdraft Fees and Returned Deposited Item Fees,https://www.goodwinlaw.com/en/insights/blogs/2024/04/california-attorney-general-warns-californiachartered-banks-and-credit-unions-on-surprise-overdraft,2024-04-24
